,State,Date,Count
951,TX,2015-08-16,2
952,TX,2015-08-17,1
953,TX,2015-08-27,1
954,TX,2015-08-28,3
955,TX,2015-08-29,1
956,TX,2015-09-04,2
957,TX,2015-09-10,1
958,TX,2015-09-13,1
959,TX,2015-09-21,3
960,TX,2015-09-23,1
961,TX,2015-09-27,1
962,TX,2015-09-29,1
963,TX,2015-10-02,2
964,TX,2015-10-05,2
965,TX,2015-10-11,2
966,TX,2015-10-15,2
967,TX,2015-10-16,1
968,TX,2015-10-21,1
969,TX,2015-10-30,3
970,TX,2015-11-04,2
971,TX,2015-11-09,2
972,TX,2015-11-16,1
973,TX,2015-11-17,2
974,TX,2015-11-23,1
975,TX,2015-11-28,1
976,TX,2015-11-30,1
977,TX,2015-12-02,1
978,TX,2015-12-05,1
979,TX,2015-12-13,3
980,TX,2015-12-20,2
981,TX,2015-12-21,1
